observed_week,cohort_week,cohort_size,still_holding,weeks_since,retention
2026-08-10,2026-06-15,119,34,8,0.2857142857142857
2026-08-10,2026-06-22,216,71,7,0.3287037037037037
2026-08-10,2026-06-29,73,38,6,0.5205479452054794
2026-08-10,2026-07-06,4176,3574,5,0.8558429118773946
2026-08-10,2026-07-13,192,139,4,0.7239583333333334
2026-08-10,2026-07-20,775,661,3,0.8529032258064516
2026-08-10,2026-07-27,234,187,2,0.7991452991452992
2026-08-10,2026-08-03,164,127,1,0.774390243902439
2026-08-10,2026-08-10,159,118,0,0.7421383647798742
2026-08-17,2026-05-11,3,1,14,0.3333333333333333
2026-08-17,2026-05-18,383,67,13,0.17493472584856398
2026-08-17,2026-05-25,334,91,12,0.27245508982035926
2026-08-17,2026-06-01,115,40,11,0.34782608695652173
2026-08-17,2026-06-08,79,24,10,0.3037974683544304
2026-08-17,2026-06-15,119,33,9,0.2773109243697479
2026-08-17,2026-06-22,216,69,8,0.3194444444444444
2026-08-17,2026-06-29,73,38,7,0.5205479452054794
2026-08-17,2026-07-06,4176,3539,6,0.8474616858237548
2026-08-17,2026-07-13,192,139,5,0.7239583333333334
2026-08-17,2026-07-20,775,656,4,0.8464516129032258
2026-08-17,2026-07-27,234,183,3,0.782051282051282
2026-08-17,2026-08-03,164,127,2,0.774390243902439
2026-08-17,2026-08-10,159,114,1,0.7169811320754716
2026-08-17,2026-08-17,283,265,0,0.9363957597173145
2026-08-24,2026-05-11,3,1,15,0.3333333333333333
2026-08-24,2026-05-18,383,65,14,0.16971279373368145
2026-08-24,2026-05-25,334,89,13,0.26646706586826346
2026-08-24,2026-06-01,115,39,12,0.3391304347826087
2026-08-24,2026-06-08,79,23,11,0.2911392405063291
2026-08-24,2026-06-15,119,33,10,0.2773109243697479
2026-08-24,2026-06-22,216,66,9,0.3055555555555556
2026-08-24,2026-06-29,73,38,8,0.5205479452054794
2026-08-24,2026-07-06,4176,3485,7,0.8345306513409961
2026-08-24,2026-07-13,192,139,6,0.7239583333333334
2026-08-24,2026-07-20,775,651,5,0.84
2026-08-24,2026-07-27,234,181,4,0.7735042735042735
2026-08-24,2026-08-03,164,123,3,0.75
2026-08-24,2026-08-10,159,111,2,0.6981132075471698
2026-08-24,2026-08-17,283,224,1,0.7915194346289752
2026-08-24,2026-08-24,166,114,0,0.6867469879518072
2026-08-31,2026-05-11,3,1,16,0.3333333333333333
2026-08-31,2026-05-18,383,65,15,0.16971279373368145
2026-08-31,2026-05-25,334,89,14,0.26646706586826346
2026-08-31,2026-06-01,115,40,13,0.34782608695652173
2026-08-31,2026-06-08,79,23,12,0.2911392405063291
2026-08-31,2026-06-15,119,33,11,0.2773109243697479
2026-08-31,2026-06-22,216,66,10,0.3055555555555556
2026-08-31,2026-06-29,73,38,9,0.5205479452054794
2026-08-31,2026-07-06,4176,3482,8,0.8338122605363985
2026-08-31,2026-07-13,192,139,7,0.7239583333333334
2026-08-31,2026-07-20,775,648,6,0.8361290322580646
2026-08-31,2026-07-27,234,181,5,0.7735042735042735
2026-08-31,2026-08-03,164,124,4,0.7560975609756098
2026-08-31,2026-08-10,159,112,3,0.7044025157232704
2026-08-31,2026-08-17,283,224,2,0.7915194346289752
2026-08-31,2026-08-24,166,103,1,0.6204819277108434
2026-08-31,2026-08-31,13,11,0,0.8461538461538461
